Internal ID,Project,Description,Related Program Code,SO,TI/CI/MI,Director,Internal Phase,Architect Partner,Project Manager,GSB Level Prioritization Relevance,Status (derived from internal Phase),Effort,Sponsoring School Area,Beneficiaries,Value To School - DS POV
1384386,AB Testing,This project is on hold. We need to figure out how to handle on-hold projects.,,NA,CI,Raj,Concept,Adam,Judy Heng,No,Exploration,TBD,Marketing,Staff ,Low
1393837,Account Life-Cycle Automation,"We currently have various scripts, in various places, various technologies, manage and execute by various people to provision resource and grant access to systems to GSB users.  (Too many various!)  Misha and I are looking into ways to improve this proces",,NA,MI,Tony,Pre-concept,Max,Phong,No,Exploration,Very Low,Digital Solutions,Staff ,TBD
1473534,Accounts Receivable Enablement,Accounts Receivable Enablement,,SO 4 - SOEE,TI,Tony,Pre-concept,,,No,Exploration,TBD,Finance,Staff ,Medium
1473535,Across Street Guide Expansion,Incorporate University academic offerings in course information - Across the Street Guide,,SO 1 - PSAE,TI,Tony,Pre-concept,,,No,Exploration,Low,MBA,Students ,Medium
1473536,ACT Rewrite,Rewrite the ACT SF application for supportability,,SO 4 - SOEE,TI,Tony,Pre-concept,,,Yes,Exploration,Medium,Digital Solutions,Alumni ,Low
1345013,Alfresco Sunset,This project is to retire Alfresco. It is coupled with Unified Search as that will be needed to address the search functionality lost by retiring Alfresco.,,SO 5 - CCV,TI,Raj,High Level Design,Max,Alpana Pande,No,Queued,Medium,Digital Solutions,Staff ,Medium
1413683,Analytics Self Service Enablement,"Create program, processes, and technology components - to empower staff to draw insights by integrated analytics",,SO 5 - CCV,TI,Raj,Pre-concept,Adam,Laissa/Missy/Judy,No,Exploration,Low,Digital Solutions,Staff ,High
1444395,AV Infrastructure Refresh & Renewal,,,SO 3 - FSTLE,TI,Rachel,Pre-concept,,Tim Colvin,Yes,Exploration,High,Faculty,Faculty Staff Students ,High
1344108,Bastion Host/Utility Server,,,NA,MI,Tony,Delivery,Max,David Love,No,Active,Very Low,Digital Solutions,Staff ,Medium
1226135,Business Architecture,"Project to capture activities of the architecture team not covered elsewhere.
Architecture Web Site: 
http://gsbarchitecture.stanford.edu",,SO 5 - CCV,TI,Raj,Delivery,Raj,Raj Nandamudi,No,Active,TBD,Digital Solutions,Staff Students Public Faculty External-customers Alumni ,High
1473537,Career Pathways,"Create personalized, interactive career exploration platform, integrating multiple internal data sources (Alumni data, employment history, course enrollments, compensation data, industry trends etc).   ......Notes column from Project by School Area sheet: Create a view that unifies data currently either fragmented or unavailable.",,SO 1 - PSAE,TI,Raj,Pre-concept,,,No,Exploration,TBD,CMC,Students ,High
1496313,CEMEX Audio and Lighting Upgrade,,,NA,,Rachel,Pre-concept,Adam,Tim Colvin,TBD,Exploration,TBD,Digital Solutions,Faculty,TBD
1473538,Certificate Program Alumni Engagement,Collaborate with programs to define alumni for certificate programs. Create lifelong identity for certificate alums.,,SO 1 - PSAE,TI,Tony,Pre-concept,,,Yes,Exploration,Medium,Exec Ed,External-customers ,Medium
1418329,CI - Applications,1146645-6-AABMY,,NA,CI,Tony,Delivery,,Naveen,No,Active,TBD,Digital Solutions,Alumni External-customers Faculty Staff Students ,TBD
1418307,CI - Client Support,1146645-2-AABMY,,NA,CI,Tony,Delivery,,Dave,No,Active,TBD,Digital Solutions,Students Staff Faculty ,TBD
1418335,CI - Desktop Phones,1146645-10-AABMY,,NA,CI,Tony,Delivery,,,,Active,TBD,Digital Solutions,Staff ,TBD
1418332,CI - Distance Education Support,1146645-9-AABMY,,NA,CI,Rachel,Delivery,,,,Active,TBD,Digital Solutions,TBD ,TBD
1473606,CI - EICA,,,NA,CI,Raj,Delivery,,Naveen,No,Active,TBD,Digital Solutions,Alumni External-customers Faculty Staff Students ,TBD
1418326,CI - Infrastructure Support,1146645-5-AABMY,,NA,CI,Tony,Delivery,,,,Active,TBD,Digital Solutions,Students Staff Public Faculty External-customers Alumni ,TBD
1418319,CI - Instructional Tech Support,1146645-4-AABMY,,NA,CI,Rachel,Delivery,,,,Active,TBD,Digital Solutions,Faculty Students ,TBD
1418331,CI - Online Education Support,1146645-8-AABMY,,NA,CI,Rachel,Delivery,,,,Active,TBD,Digital Solutions,Faculty Students ,TBD
1418339,CI - Printing Support,1146645-12-AABMY,,NA,CI,Tony,Delivery,,,,Active,TBD,Digital Solutions,Students Staff Faculty ,TBD
1418338,CI - Video Prod/Event Support,1146645-11-AABMY,,NA,CI,Rachel,Delivery,,,,Active,TBD,Digital Solutions,Faculty ,TBD
1344106,Classroom Applications,,,SO 3 - FSTLE,TI,Rachel,Concept,Max,Pamela,No,Exploration,TBD,Digital Solutions,Faculty Staff Students ,Medium
1444398,Classroom Management Applications - Seating Chart,,,SO 3 - FSTLE,TI,Rachel,Delivery,Max,Pamela Levine,Yes,Active,Medium,Faculty,Faculty Staff Students ,Medium
1226150,Classroom Monitoring and Alerting,,,SO 3 - FSTLE,TI,Rachel,Delivery,Adam,Tim Colvin,No,Active,Low,Digital Solutions,Students Staff Faculty ,Medium
1444390,Composite Learning Materials,Composite Learning Materials Creation with Faculty (10),,SO 3 - FSTLE,TI,Rachel,Pre-concept,,,No,Exploration,TBD,Faculty,Faculty Students ,High
1473539,Composite Learning Materials: Crisis Text Line CEO (Rao),   ......Notes column from Project by School Area sheet: Partnership? Inkling?,1444390,SO 3 - FSTLE,TI,Rachel,Pre-concept,,,No,Exploration,Low,Faculty,Faculty Students ,Medium
1473540,Composite Learning Materials: CSI Legal Structures V2 (Soule),,1444390,SO 3 - FSTLE,TI,Rachel,Pre-concept,,,No,Exploration,Low,Faculty,Faculty Students ,Medium
1473541,Composite Learning Materials: Negotiation Interactives (Neale),,1444390,SO 3 - FSTLE,TI,Rachel,Pre-concept,,,Yes,Exploration,Medium,Faculty,Faculty Students ,High
1473542,Composite Learning Materials: Power of Humor (Aaker),   ......Notes column from Project by School Area sheet: In partnership with CWO on Inkling,1444390,SO 3 - FSTLE,TI,Rachel,Pre-concept,,,No,Exploration,Low,Faculty,Faculty Students ,Medium
1483720,Conferencing and Collaboration Pilot Spark and Jamboard,,,SO 4 - SOEE,TI,Rachel,Pre-concept,,,No,Exploration,Low,Digital Solutions,Faculty Staff Students ,Medium
1444396,Conferencing and Collaboration Service and Support,Conferencing and Collaboration Services and Support,,SO 3 - FSTLE,TI,Rachel,Pre-concept,,,Yes,Exploration,TBD,Faculty,Faculty Staff Students ,Medium
1473544,"Conferencing and Collaboration: WebEx, Zoom, Connect","Conferencing and Collaboration: Introduce WebEx, Zoom; Adobe Connect",,SO 4 - SOEE,TI,Rachel,Pre-concept,,,No,Exploration,Low,Digital Solutions,Faculty Staff Students ,Medium
1239563,Connected Customer Journey,"Create meaningful connections with a broad global audience using Customer Relationship Management (CRM) & Automation to deliver personalized, data driven knowledge and communications. ",,SO 4 - SOEE,TI,Tony,Pitch,Adam,Tina Underwood,Yes,Queued,High,Marketing,Staff ,High
1473545,Containerization,"Containerization: Shift custom-built applications, particularly those currently running on our Linux stack, to a containerized model for better isolation and deployment",,SO 4 - SOEE,TI,Tony,Pre-concept,,,Yes,Exploration,Medium,Digital Solutions,Faculty Staff Students ,Medium
1226139,Course Planning System,,,SO 2 - FRCAE,TI,Tony,Delivery,Adam,Tina,No,Active,High,Academic Administration,Staff Faculty ,High
1473546,Course Research,"Course Research: Deliver experience designed to maximize efficiency   ......Notes column from Project by School Area sheet: This is complex. Very, very wide diversity of needs and approaches to course research across 1000 strong student body.",,SO 1 - PSAE,TI,Raj,Pre-concept,,,No,Exploration,TBD,MBA,Students ,High
1473547,Course Research: Enriched Information,"Course Research: Enrich information available to students - demand trends, switching patterns etc.   ......Notes column from Project by School Area sheet: Continued attempt to consolidate silos of information.",1473546,SO 1 - PSAE,TI,Raj,Pre-concept,,,Yes,Exploration,Medium,MBA,Students ,High
1473548,Course Research: Sentiment Analysis,Course Research: Enhance by adding sentiment analysis for evaluation comments.   ......Notes column from Project by School Area sheet: Depends on enablement of text analytics platform.,1473546,SO 1 - PSAE,TI,Raj,Pre-concept,,,Yes,Exploration,Medium,MBA,Students ,High
1473549,Datasets for Research,"Create a standard process for acquiring datasets, and a service for storing and disseminating these datasets for research purposes   ......Notes column from Project by School Area sheet: Also close partnership with Library",,SO 2 - FRCAE,TI,Tony,Pre-concept,,,No,Exploration,Low,CIRCLE,Staff Faculty ,Medium
1473550,Datasync Overhaul,"Datasync Overhaul: Rationalize and rework our datasync processes   ......Notes column from Project by School Area sheet: Routine ongoing maintenance type activity.
(DWL) I'd hardly describe datasync overhaul as ""routine!""  It's a fundamental foundational effort.",,SO 5 - CCV,TI,Raj,Pre-concept,,,No,Exploration,TBD,Digital Solutions,Faculty Staff Students ,Low
1473551,Dean's Dashboard,Enhance the CRM platform to track activity and relationship information from lead to alum to build a 360° map of the stakeholders (Dean's Dashboard),,SO 4 - SOEE,TI,Tony,Pre-concept,,,Yes,Exploration,High,Digital Solutions,Staff ,High
1409684,Disaster Recovery Isilon,,,NA,CI,Tony,Pre-concept,Max,Arun,No,Exploration,Very Low,Digital Solutions,Faculty ,Medium
1377033,Drupal Hosting,,,NA,CI,Tony,Concept,Adam,Ayuta Padhi,No,Exploration,Very Low,Digital Solutions,Students Faculty Staff ,Low
1226152,EMS 8.0 Upgrade,,,NA,MI,Tony,Delivery,Adam,Lisa,No,Active,Very Low,Facilities,Staff Students Faculty ,Low
1473552,Enhance TAPS/FARES,Enhance TAPS/FARES,,SO 2 - FRCAE,TI,Tony,Pre-concept,,,Yes,Exploration,Medium,Academic Administration,Faculty Staff ,Medium
1473524,Enterprise Data Warehouse,"Enhance Enterprise Data Warehouse to support quick analytics implementations, increase self service   ......Notes column from Project by School Area sheet: Well organized DW improves self service capabilities.",,SO 5 - CCV,TI,Raj,Pre-concept,,,TBD,Exploration,TBD,Digital Solutions,Staff ,Medium
1226142,Enterprise Service Bus,Was API.GSB. Changed to be consistent with Project By School Area spreadsheet,,SO 5 - CCV,TI,Raj,Delivery,Adam,Adam Moore,No,Active,TBD,Digital Solutions,Faculty Staff Students ,Medium
1413685,Faculty Administrative Dashboards,,,SO 2 - FRCAE,TI,Raj,Pre-concept,Adam,Judy/Missy/Aravind,Yes,Exploration,Medium,Faculty,Faculty ,Medium
1473554,Faculty Area Assignment,Improve Faculty area assignment and faculty/FA assignment process,,SO 4 - SOEE,TI,Tony,Pre-concept,,,No,Exploration,Low,Faculty Support,Staff ,Low
1473555,Faculty Information System - Dashboard,Faculty Information System (dashboard),,SO 2 - FRCAE,TI,Tony,Pre-concept,,,No,Exploration,Low,Academic Administration,Staff ,Medium
1473556,Faculty Reports,Faculty Reports: Rationalize and migrate Faculty Reports to Salesforce,,SO 2 - FRCAE,TI,Tony,Pre-concept,,,Yes,Exploration,Medium,Academic Administration,Faculty ,Medium
1473557,Faculty Research Cloud Capabilities,Expand faculty research capabilities by exploring Cloud offerings (such as Amazon Athena and Google BigQuery),,SO 2 - FRCAE,TI,Tony,Pre-concept,,,No,Exploration,Low,CIRCLE,Faculty ,Medium
